anime_id,title,source,rating,score,scored_by,premiered,studio
11533,momotarou densetsu,game,g - all ages,6.34,35,fall 1989,knack productions
2609,kakyuusei (tv),visual novel,pg-13 - teens 13 or older,6.27,400,summer 1999,
15605,brothers conflict,novel,pg-13 - teens 13 or older,6.51,49728,s style and sylph was also released.,funimation,"['""14 to 1"" by asahina bros.+juli']",unknown,,unknown,,unknown,,
31741,magi: sinbad no bouken (tv),manga,pg-13 - teens 13 or older,8.13,77218,spring 2016,lay-duce
1569,otome wa boku ni koishiteru,visual novel,pg-13 - teens 13 or older,7.14,21009,fall 2006,feel.
31683,danchigai special,4-koma manga,pg-13 - teens 13 or older,6.48,7140,unknown,creators in pack
997,bishoujo senshi sailor moon s: kaguya hime no koibito,manga,pg-13 - teens 13 or older,7.76,19329,unknown,"toei animation, production reed"
18139,tonari no seki-kun,manga,g - all ages,7.68,58577,winter 2014,shin-ei animation
2621,natsu e no tobira,manga,pg-13 - teens 13 or older,6.28,1069,unknown,"madhouse, toei animation"
24443,peeping life: shinkon-chan kansai ni irasshai,unknown,g - all ages,5.12,83,unknown,
36835,rudolf to ippaiattena x godzilla x toho cinemas moving logo eizou,novel,g - all ages,5.37,63,unknown,
519,mahoraba: heartful days,manga,pg-13 - teens 13 or older,7.41,8091,winter 2005,j.c.staff
12807,wonder-kun no hatsu yume uchuu ryokou,unknown,none,5.4,15,unknown,
1863,silk road shounen yuuto,unknown,none,5.88,16,fall 2006,olm
2571,mitsubachi maya no bouken,book,g - all ages,6.43,3080,spring 1975,nippon animation
21277,yawaraka atom,unknown,g - all ages,4.43,23,unknown,
9826,okubyou na venus,unknown,g - all ages,5.64,103,unknown,toei animation
34997,ao no strada,original,g - all ages,5.47,61,unknown,
28221,etotama,original,pg-13 - teens 13 or older,6.97,17598,spring 2015,"shirogumi, encourage films"
30342,funassyi no funafunafuna biyori,original,g - all ages,6.27,11,spring 2015,asahi production
16506,san ge heshang,unknown,g - all ages,5.9,93,unknown,
19457,green saver,original,g - all ages,5.8,10,fall 2009,
37387,wata no kuni hoshi pilot,manga,g - all ages,5.06,18,unknown,
16405,"boku no imouto wa ""osaka okan""",original,pg-13 - teens 13 or older,5.87,6655,winter 2013,charaction
30030,jewelpet magical change,original,pg - children,6.67,197,spring 2015,studio deen
12951,awol,unknown,pg-13 - teens 13 or older,5.72,63,winter 1998,studio deen
33541,bishoujo yuugi unit crane game girls galaxy,original,pg - children,4.83,873,fall 2016,kyotoma
21743,donten ni warau,manga,pg-13 - teens 13 or older,7.6,28974,fall 2014,doga kobo
4941,tezuka osamu ga kieta?! 20 seiki saigo no kaijiken,unknown,pg - children,6.39,88,unknown,
10639,deva zan,unknown,g - all ages,5.02,185,unknown,
15617,jinrui wa suitai shimashita specials,unknown,pg-13 - teens 13 or older,7.28,7382,unknown,aic a.s.t.a.
8181,adachi-ga hara,manga,pg-13 - teens 13 or older,6.05,282,unknown,tezuka productions
12015,tiger & bunny movie 1: the beginning,unknown,pg-13 - teens 13 or older,7.51,6944,unknown,sunrise
31631,monster hunter stories: ride on,game,pg-13 - teens 13 or older,6.33,834,fall 2016,david production
3154,gatchaman,unknown,pg-13 - teens 13 or older,6.54,638,unknown,tatsunoko production
10562,machine hayabusa,original,pg-13 - teens 13 or older,6.32,67,spring 1976,toei animation
7761,masuda kousuke gekijou gag manga biyori +,manga,pg-13 - teens 13 or older,7.27,387,winter 2010,studio deen
18679,kill la kill,original,pg-13 - teens 13 or older,8.19,412726,fall 2013,trigger
30892,boo boo boy,original,g - all ages,4.83,23,summer 2015,dle
1457,key the metal idol,original,pg-13 - teens 13 or older,7.05,2970,unknown,studio pierrot
37341,yuru camp△ specials,manga,pg-13 - teens 13 or older,7.78,1325,unknown,c-station
36107,shirotan: shirotan ga ippai!,other,g - all ages,6.74,27,unknown,
4961,mushrambo (2008),unknown,pg - children,6.66,265,unknown,toei animation
28241,ahiru rikusentai,original,g - all ages,5.3,200,unknown,
779,detective conan movie 01: the timed skyscraper,manga,pg-13 - teens 13 or older,7.96,23904,unknown,tms entertainment
2885,ganbare goemon,game,g - all ages,6.19,205,fall 1997,
34744,kumo no gakkou,novel,g - all ages,6,6,unknown,
34486,star ocean: anamnesis,game,pg-13 - teens 13 or older,5.45,49,unknown,
1574,get ride! amdriver,unknown,pg-13 - teens 13 or older,6.46,177,spring 2004,studio deen
177,tsubasa chronicle,manga,pg-13 - teens 13 or older,7.64,70113,spring 2005,bee train
35839,sora yori mo tooi basho,original,pg-13 - teens 13 or older,8.65,41939,winter 2018,madhouse
5826,oira no yakyuu,original,g - all ages,5.39,658,unknown,
32224,mako-chan no koutsuu anzen,original,g - all ages,4.3,20,unknown,
23581,romeo no aoi sora specials,novel,g - all ages,6.74,95,unknown,nippon animation
21179,dragon fist,manga,pg-13 - teens 13 or older,4.83,208,unknown,agent 21
18205,world fool news (tv),unknown,g - all ages,6.05,644,spring 2014,
25541,moom,picture book,g - all ages,5.83,12,unknown,tonko house
32583,sense honma ni honma,music,g - all ages,4.41,46,unknown,
3784,evangelion: 2.0 you can (not) advance,original,pg-13 - teens 13 or older,8.44,141762,unknown,khara
6195,rita to nantoka,unknown,g - all ages,6.05,43,fall 2010,nippon animation
16419,dokidoki! precure,original,g - all ages,6.89,3239,winter 2013,toei animation
34126,rewrite 2nd season,visual novel,pg-13 - teens 13 or older,7.44,24467,winter 2017,8bit
35252,hatena☆illusion,light novel,none,0,0,unknown,
13085,kitsutsuki keikaku,unknown,g - all ages,5.37,99,unknown,
2165,gegege no kitarou (2007),manga,g - all ages,7.06,426,spring 2007,toei animation
33912,gakuen handsome: haitoku no lesson,game,pg-13 - teens 13 or older,5.32,215,s character cd. short versions of them were uploaded to the series&#039,unknown,[],unknown,,unknown,,unknown,,
4534,choujin locke: shinsekai sentai,manga,pg-13 - teens 13 or older,6.12,196,unknown,nippon animation
5272,tondemo nezumi daikatsuyaku,unknown,g - all ages,6.18,110,unknown,nippon animation
30050,cooking papa christmas special,unknown,none,6.06,16,unknown,eiken
23351,youkaiden nekome kozou,manga,g - all ages,7.3,20,spring 1976,
19999,sobakasu pucchi,unknown,pg - children,7,16,spring 1969,
280,animal yokochou,manga,g - all ages,7.01,371,fall 2005,studio gallop
37396,shikioriori,original,none,0,0,unknown,"comix wave films, haoliners animation league"
37597,dakaretai otoko 1-i ni odosarete imasu.,manga,none,0,0,unknown,
33512,animegatari x ghost in the shell collab eizou,original,g - all ages,5.28,272,unknown,
1699,romeo x juliet,book,pg-13 - teens 13 or older,7.8,48305,spring 2007,gonzo
9821,chuntian huahua zhonghua bowuguan,unknown,g - all ages,6.61,28,spring 2006,
32365,boruto: naruto the movie - naruto ga hokage ni natta hi,original,pg-13 - teens 13 or older,7.64,24355,unknown,studio pierrot
11103,busou shinki moon angel,other,pg-13 - teens 13 or older,6.64,4464,unknown,"tnk, kinema citrus"
20463,little nemo pilot (1987),unknown,g - all ages,5.82,164,unknown,tms entertainment
16067,nagi no asukara,original,pg-13 - teens 13 or older,8.24,132252,fall 2013,p.a. works
33881,kochira katsushikaku kameari kouenmae hashutsujo: washi to ore!? - bokura wa asakusa shounen tanteid,manga,pg-13 - teens 13 or older,7.16,32,unknown,
5874,sankou to tako: hyakumanryou chinsoudou,original,g - all ages,5.15,238,unknown,
32857,natsu no ginkei,music,g - all ages,4.26,31,unknown,
8229,"on-chan, yume power daibouken!",unknown,g - all ages,5.53,19,unknown,nippon animation
10246,hajimete no christmas,unknown,g - all ages,6.15,26,unknown,
16558,cheol-in 007,unknown,pg - children,4.61,33,unknown,
29437,detective conan: happy new year special,unknown,pg-13 - teens 13 or older,7.21,643,unknown,tms entertainment
31465,pichiko dakyuubu usa-hen,unknown,g - all ages,4.52,21,unknown,dle
19559,otoko wa tsurai yo: torajirou wasurenagusa,unknown,none,5.62,13,unknown,eiken
317,final fantasy vii: advent children,game,pg-13 - teens 13 or older,7.88,112969,unknown,square enix
10948,ghost in the shell: stand alone complex 2nd gig - individual eleven - tachikoma no hibi,unknown,pg - children,7.11,1213,unknown,production i.g
8732,yuuki hitotsu wo tomo ni shite,other,g - all ages,5.01,128,unknown,
36771,"baito-saki wa ""aku no soshiki""!?",novel,g - all ages,5.36,14,unknown,heart-bit
22231,tenshi no shippo chu!: tenshi no utagoe,unknown,pg-13 - teens 13 or older,6.18,116,unknown,
8995,tales of symphonia the animation: sekai tougou-hen,game,pg-13 - teens 13 or older,7.59,6764,unknown,ufotable
33484,shiroi zou,other,g - all ages,5.05,20,unknown,gakken eigakyoku
19067,future card buddyfight,card game,pg - children,7.11,1422,winter 2014,"xebec, olm"
7169,ibara-hime matawa nemuri-hime,other,pg-13 - teens 13 or older,6.24,291,unknown,
13629,furiko,original,g - all ages,7.74,8064,unknown,
32999,"neko mo, onda-ke",4-koma manga,g - all ages,3.51,45,spring 2016,studio! cucuri
303,aa! megami-sama!: chichaitte koto wa benri da ne,4-koma manga,g - all ages,7.01,7646,spring 1998,olm
15663,kero kero keroppi no gulliver no bouken,unknown,g - all ages,6.16,63,unknown,
744,trouble chocolate,radio,g - all ages,6.68,1184,fall 1999,aic
19069,okane wa mawaru: kurashi to kinyuu,unknown,g - all ages,5.6,25,unknown,
958,heatguy j,original,pg-13 - teens 13 or older,7.28,4668,fall 2002,satelight
33911,gakuen handsome: legend of sexy,game,pg-13 - teens 13 or older,5.64,266,unknown,
3185,fortune quest l,novel,pg-13 - teens 13 or older,6.56,260,fall 1997,media blasters
5419,paniponi dash!: danjite okonaeba kishin mo kore wo saku,manga,pg-13 - teens 13 or older,7.62,3642,unknown,shaft
24197,e no umakatta tomodachi,unknown,g - all ages,5.51,312,unknown,
23213,kantoku fuyuki todoki,manga,pg-13 - teens 13 or older,5.92,1779,spring 2014,dle
2780,kyoufu no bio ningen saishuu kyoushi,unknown,pg-13 - teens 13 or older,5.66,965,unknown,j.c.staff
23303,hiroshima e no tabi,unknown,g - all ages,5.71,17,unknown,toei animation
960,shin chou kyou ryo: condor hero ii,unknown,pg-13 - teens 13 or older,7.47,1040,winter 2005,nippon animation
8894,yume-iro pâtissière: mune kyun tropical island!,manga,g - all ages,7.28,3571,unknown,studio pierrot
8560,"kyou, koi wo hajimemasu",manga,pg-13 - teens 13 or older,6.59,12410,unknown,j.c.staff
29107,banana mura ni ame ga furu,original,g - all ages,4.65,92,unknown,
11245,manga nihonshi,unknown,none,6.25,20,spring 1983,
2892,hakushon daimaou,unknown,g - all ages,6.11,416,fall 1969,tatsunoko production
315,xiao qian,unknown,pg - children,6.69,797,unknown,triangle staff
16021,miracle psychicer seizan,original,pg-13 - teens 13 or older,6.74,23,unknown,studio pierrot
18153,kyoukai no kanata,light novel,pg-13 - teens 13 or older,7.87,261632,fall 2013,kyoto animation
2200,muteki choujin zanbot 3,original,pg-13 - teens 13 or older,7.11,620,fall 1977,sunrise
32384,the new a-class.: next stage with you,original,g - all ages,5.06,300,unknown,
1276,ys,game,pg-13 - teens 13 or older,6.57,1798,unknown,tokyo kids
7333,koisuru tenshi angelique: kagayaki no ashita special,unknown,g - all ages,6.84,632,unknown,
36382,mama gomennasai,original,g - all ages,2.63,8,unknown,
34618,blend s,4-koma manga,pg-13 - teens 13 or older,7.6,89795,fall 2017,a-1 pictures
24811,prison bear,unknown,g - all ages,3.21,39,unknown,kachidoki studio
1719,rozen maiden: ouvertüre,manga,pg-13 - teens 13 or older,7.8,28759,unknown,nomad
2227,lady lady!!,manga,g - all ages,7.66,1467,fall 1987,toei animation
28197,ofuro no kazoe uta,music,g - all ages,4.98,87,unknown,
24347,inazuma eleven: chou jigen dream match,unknown,g - all ages,7.04,1960,unknown,olm
17549,non non biyori,manga,pg-13 - teens 13 or older,8.01,83264,fall 2013,silver link.
3010,kaiketsu zorro,other,pg-13 - teens 13 or older,7.3,3473,spring 1996,ashi production
1985,ufo robo grendizer,unknown,pg-13 - teens 13 or older,7.65,2806,fall 1975,toei animation
19207,maji de otaku na english! ribbon-chan: eigo de tatakau mahou shoujo - the tv,unknown,pg-13 - teens 13 or older,5.43,703,summer 2013,
8635,shin koihime†musou: live revolution,visual novel,pg-13 - teens 13 or older,6.71,1545,unknown,doga kobo
35706,akichi asobi: playground,unknown,g - all ages,6.12,97,unknown,
33027,infini-t force,original,pg-13 - teens 13 or older,6.63,1129,fall 2017,tatsunoko production
8955,senjutsu choukoukaku orion,manga,pg-13 - teens 13 or older,5.42,26,unknown,studio 4°c
4550,hyakko,manga,pg-13 - teens 13 or older,7.31,16274,fall 2008,nippon animation
32961,regalia: the three sacred stars,original,pg-13 - teens 13 or older,6.03,4505,summer 2016,actas
35137,space gundam v,original,pg-13 - teens 13 or older,5.56,25,unknown,
8410,metal fight beyblade: baku,manga,pg - children,6.85,7088,spring 2010,"tatsunoko production, synergysp"
18989,ghost in the shell: arise - another mission,unknown,pg-13 - teens 13 or older,6.66,2670,unknown,production i.g
34984,koi wa ameagari no you ni,manga,pg-13 - teens 13 or older,7.66,33696,winter 2018,wit studio
28293,shimajirou to ookinaki,unknown,pg - children,4.57,14,unknown,the answer studio
5921,utsunomiko,unknown,pg - children,6.13,48,unknown,
34013,hagane orchestra,game,pg-13 - teens 13 or older,5.65,915,fall 2016,fanworks
16742,watashi ga motenai no wa dou kangaetemo omaera ga warui!,web manga,pg-13 - teens 13 or older,7.23,188337,summer 2013,silver link.
7547,komadori eiga: komaneko,unknown,g - all ages,6.41,117,unknown,
1590,legendz: yomigaeru ryuuou densetsu,unknown,g - all ages,7.43,568,spring 2004,studio gallop
30625,princess princess specials,manga,pg-13 - teens 13 or older,6.74,226,unknown,studio deen
25619,genki genki non-tan: spoon tan tan tan,unknown,g - all ages,6.11,9,unknown,polygon pictures
6077,akubi girl,unknown,pg - children,6.15,105,spring 2006,tatsunoko production
12437,yuri seijin naoko-san (2012),manga,pg-13 - teens 13 or older,6.59,4099,unknown,ufotable
8667,koi hanabi,music,g - all ages,5.82,149,unknown,
10763,robot taekwon v,unknown,pg - children,4.74,111,unknown,
34122,minna de bokumetsu inshu unten,original,g - all ages,5.35,67,unknown,
19697,toaru kagaku no railgun s: motto marutto railgun,manga,pg-13 - teens 13 or older,7.12,7781,unknown,j.c.staff
35532,moufu no hi,original,g - all ages,3.15,20,unknown,
2036,cosmic baton girl comet-san☆,manga,g - all ages,7.3,823,spring 2001,nippon animation
1059,mutant turtles: choujin densetsu-hen,unknown,pg - children,5.36,1062,unknown,
29347,20-dai no heya-hen,unknown,g - all ages,5.19,511,unknown,
926,transformers victory,unknown,pg - children,6.78,729,spring 1989,toei animation
10471,ie naki ko remy specials,unknown,pg - children,7.71,530,unknown,nippon animation
5841,yume wo kanaeru zou,manga,g - all ages,5.53,19,winter 2009,studio deen
4332,seigi wo aisuru mono gekkou kamen,unknown,pg-13 - teens 13 or older,6.87,108,winter 1972,
29719,maze maze wien,original,g - all ages,5.07,14,unknown,
37264,overlord picture drama,light novel,pg-13 - teens 13 or older,6.14,303,unknown,
5369,street fighter iv: aratanaru kizuna,game,pg-13 - teens 13 or older,6.32,3201,unknown,studio 4°c
34763,kine-pass gekijou,game,g - all ages,4.35,34,unknown,
26289,hage,unknown,g - all ages,6.67,12,unknown,
4101,wan wan celepoo soreyuke! tetsunoshin,original,g - all ages,6.7,68,winter 2006,studio comet
13669,owari no chronicle,light novel,pg-13 - teens 13 or older,5.13,665,unknown,
17835,seito shokun! kokoro ni midori no neckerchief wo,manga,pg-13 - teens 13 or older,6.26,23,unknown,
103,akazukin chacha,manga,g - all ages,7.46,3153,winter 1994,studio gallop
35472,yuuki yuuna wa yuushabu shozoku 2,manga,pg-13 - teens 13 or older,6.62,504,unknown,w-toon studio
34410,ba la la xiao mo xian zhi: feiyue cai ling bao,original,g - all ages,5.92,25,fall 2016,
29501,the night game: neko no sakusen,unknown,pg - children,5.07,43,unknown,
36973,ekimemo!,game,g - all ages,4.75,16,unknown,
22613,kero kero keroppi no yowamushi-ouji no daibouken,unknown,g - all ages,6.08,39,unknown,
8645,kitte no nai okurimono,unknown,g - all ages,5.08,141,unknown,
1912,marginal prince: gekkeiju no ouji-tachi,visual novel,pg-13 - teens 13 or older,6.03,2680,fall 2006,
27921,genkichi jiisan to kogitsune,unknown,g - all ages,6.5,8,unknown,toei animation
24211,orenchi no furo jijou,4-koma manga,pg-13 - teens 13 or older,7.13,30949,fall 2014,asahi production
2537,angelique: twin collection,unknown,pg - children,6.15,202,unknown,
30781,matsubara-kun,original,g - all ages,4.12,41,unknown,
31143,onsen yousei hakone-chan,web manga,pg-13 - teens 13 or older,5.89,10729,fall 2015,"production reed, asahi production"
18549,sengoku basara movie: 4-koma gekijou - another last party,unknown,pg-13 - teens 13 or older,6.57,753,unknown,production i.g
21487,shin dokonjou gaeru,manga,g - all ages,6.84,19,fall 1981,
1777,kaze no tairiku,light novel,pg-13 - teens 13 or older,6.3,1439,unknown,production i.g
32670,battle spirits: double drive,card game,pg - children,6.31,74,spring 2016,bandai namco pictures
24913,bokura wa minna kawai-sou: hajimete no,manga,pg-13 - teens 13 or older,7.74,15516,unknown,brain&#039
22421,licca-chan to mahou no kuni,unknown,g - all ages,4.36,22,unknown,dle
31377,kataribe shoujo honoka,original,g - all ages,5.54,96,unknown,ishikawa pro
30177,ninja hattori-kun (2012) special,unknown,g - all ages,6.13,45,unknown,shin-ei animation
31178,uta no☆prince-sama♪ maji love legend star,visual novel,pg-13 - teens 13 or older,7.35,6260,fall 2016,a-1 pictures
19535,taka no tsume go: utsukushiki elleair shoushuu plus,unknown,none,5.29,17,unknown,dle
6783,ef: a tale of memories. - recollections,visual novel,pg-13 - teens 13 or older,7.45,3138,unknown,shaft
248,ichigo 100%,manga,pg-13 - teens 13 or older,6.78,40883,spring 2005,madhouse
35857,lupin iii: part 5,manga,pg-13 - teens 13 or older,7.98,1413,spring 2018,telecom animation film
88,mobile suit gundam f91,unknown,pg-13 - teens 13 or older,6.81,9137,unknown,sunrise
1961,arashi no yoru ni,book,g - all ages,7.84,6751,unknown,group tac
23043,re boot,unknown,g - all ages,7.16,1260,unknown,
3974,tetsuwan birdy decode,manga,pg-13 - teens 13 or older,7.52,25528,summer 2008,a-1 pictures
1267,yoroiden samurai troopers message,unknown,pg-13 - teens 13 or older,6.11,566,unknown,sunrise
29846,omakase! miracle cat-dan,original,g - all ages,5.64,14,spring 2015,olm digital
35206,kirakira☆precure a la mode movie: paritto! omoide no mille-feuille!,original,g - all ages,6.77,227,unknown,toei animation
2288,akihabara dennou-gumi,original,pg-13 - teens 13 or older,6.65,1762,spring 1998,production reed
37438,ingress,game,none,0,0,fall 2018,craftar
11735,coluboccoro,original,g - all ages,5.72,694,unknown,kenji studio
3401,aru tabibito no nikki specials,original,g - all ages,6.48,3812,unknown,
31072,show by rock!!: legend of shingan crimsonz,game,g - all ages,6.07,230,unknown,
32214,koukaku no pandora,manga,pg-13 - teens 13 or older,6.6,10549,winter 2016,"studio gokumi, axsiz"
10533,fujilog,unknown,pg-13 - teens 13 or older,5.73,49,spring 2011,
31977,hanabi,music,pg-13 - teens 13 or older,5.98,150,unknown,
9136,kuroshitsuji ii specials,manga,pg-13 - teens 13 or older,7.68,38423,unknown,a-1 pictures
17080,soukyuu no fafner: dead aggressor - exodus,original,pg-13 - teens 13 or older,7.44,4672,winter 2015,xebec zwei
1710,rockman.exe,unknown,pg-13 - teens 13 or older,7.02,12259,spring 2002,xebec
24713,miss monochrome: the animation - soccer-hen,original,g - all ages,6.29,3538,unknown,"sanzigen, lidenfilms"
34151,landreaall,manga,pg-13 - teens 13 or older,5.94,18,unknown,will palette
8533,hana no kage,original,pg-13 - teens 13 or older,6.13,337,unknown,
36326,tamagawa kyoudai,novel,pg-13 - teens 13 or older,6.14,7,unknown,
952,magical nyan nyan taruto,unknown,g - all ages,6.37,1295,summer 2001,"madhouse, tnk"
2518,masuda kousuke gekijou gag manga biyori 2,manga,pg-13 - teens 13 or older,7.42,917,summer 2006,artland
23365,by your side,unknown,pg - children,6.14,492,unknown,
10104,loups=garous picture drama,unknown,pg - children,5.47,502,unknown,production i.g
33759,feng wei ying xiong,original,pg-13 - teens 13 or older,6.64,64,unknown,
3011,yotsunoha,visual novel,pg-13 - teens 13 or older,6.44,4673,unknown,hal film maker
31592,pokemon xy&z,game,pg - children,7.8,16342,fall 2015,olm
33529,kubbe pv full ver.,picture book,g - all ages,5.1,20,unknown,echoes
27829,heavy object,light novel,pg-13 - teens 13 or older,7.38,35792,fall 2015,"j.c.staff, sanzigen"
9884,osomatsu-kun,manga,pg - children,6.86,242,winter 1966,studio zero
5956,high school! kimengumi (movie),unknown,pg - children,6.3,123,unknown,
33113,scared rider xechs,visual novel,pg-13 - teens 13 or older,5.31,2727,summer 2016,satelight
4419,catman,unknown,pg-13 - teens 13 or older,6.18,672,unknown,
5492,platonic chain: web,novel,pg-13 - teens 13 or older,5.78,148,unknown,
4933,muu no hakugei,original,pg-13 - teens 13 or older,6.52,128,spring 1980,
37152,shaonian jinyiwei 2nd season,original,pg-13 - teens 13 or older,5.78,9,unknown,
1737,uchuu senshi baldios,unknown,pg-13 - teens 13 or older,6.66,152,summer 1980,production reed
34741,tomica hyper rescue drive head: kidou kyuukyuu keisatsu (tv),other,pg - children,5.65,37,spring 2017,olm
34889,cerberus,original,g - all ages,5.53,68,unknown,
26111,hibike! wadaiko,unknown,g - all ages,6.64,44,unknown,toei animation
16664,kaguya-hime no monogatari,other,g - all ages,8.32,34776,unknown,studio ghibli
37124,the idolm@ster cinderella girls: starlight stage - shinshun! happy new year campaign,game,g - all ages,5.55,33,unknown,
2851,ninkuu (movie),manga,g - all ages,6.19,462,unknown,studio pierrot
24905,go-hiki no kobuta to charleston,music,g - all ages,4.74,62,unknown,
23697,kara no kyoukai: manner movies,unknown,g - all ages,6.45,2969,unknown,ufotable
37555,hangyakusei million arthur,game,none,0,0,unknown,
33938,koiwai junsui kajuu: bokura junsui-hen,original,g - all ages,4.36,25,unknown,
34249,aqua kids,original,g - all ages,4.75,12,spring 2004,
31402,soul worker: your destiny awaits,game,pg-13 - teens 13 or older,6,630,unknown,larx entertainment
5876,izumo,unknown,pg - children,6.12,67,unknown,
33835,pj berri no mogumogu munyamunya,game,g - all ages,6.31,13,summer 2016,doga kobo
6726,hanasakeru seishounen recaps,manga,pg-13 - teens 13 or older,6.93,1027,unknown,studio pierrot
29924,goman-hiki,unknown,g - all ages,5.78,9,unknown,
8696,shiroi michi,music,g - all ages,5.48,127,unknown,
36641,grand marche no meikyuu,game,g - all ages,4.6,10,unknown,
3762,the borgman: last battle,other,pg-13 - teens 13 or older,6.11,174,unknown,production reed
531,bishoujo senshi sailor moon r: the movie,manga,pg-13 - teens 13 or older,7.78,23271,unknown,toei animation
1926,jishu seisaku movie binchou-tan,manga,g - all ages,6.18,1023,unknown,ishikawa pro
30393,hana no hanashi,unknown,g - all ages,5.06,68,unknown,
36537,starmyu ova (2018),original,none,0,0,unknown,
25939,mahou shoujo lyrical nanoha vivid,manga,pg-13 - teens 13 or older,6.82,5817,spring 2015,a-1 pictures
36119,uma no friends,game,g - all ages,6.5,885,unknown,
4467,universe,unknown,g - all ages,6.63,901,unknown,production i.g
17681,zettai bouei leviathan,game,pg-13 - teens 13 or older,6.38,7992,spring 2013,gonzo
32660,petit petit muse,original,g - all ages,6.85,13,winter 2008,
36784,hataraku onii-san!,original,g - all ages,6.3,1257,winter 2018,tomovies
14813,yahari ore no seishun love comedy wa machigatteiru.,light novel,pg-13 - teens 13 or older,8.11,306308,s light novel series of the same title.,sentai filmworks,"['#1: ""hello alone"" by yukino yukinoshita (saori hayami) & yui yuigahama (nao touyama) (eps 1-4, 6-12)', '#2: ""hello alone -yui ballade-"" by yui yuigahama (nao touyama) (ep 5)', '#3: ""hello alone -band arrange-"" by yukino yukinoshita (saori hayami) & yui yuigahama (nao touyama) (ep 13)']",unknown,,unknown,,unknown,,
3923,kamen rider den-o: imagin anime,unknown,g - all ages,6.72,315,unknown,
35475,isobe isobee with nakata yasutaka de sourou,manga,g - all ages,4.29,38,unknown,
21981,pic-lele,unknown,pg - children,5.89,9,winter 2014,kachidoki studio
7531,onbu obake,original,g - all ages,5.21,19,unknown,
35267,shingeki no kyojin-ten 360° taikan theater,manga,pg-13 - teens 13 or older,6.98,461,unknown,
6374,kagaku ninja-tai gatchaman ii,unknown,pg-13 - teens 13 or older,6.56,322,fall 1978,tatsunoko production
30943,ojiichan wa boku no hero,unknown,g - all ages,8.33,27,unknown,
18919,the midnight★animal,original,pg-13 - teens 13 or older,4.6,10,unknown,gonzo
3015,ginga eiyuu densetsu gaiden: ougon no tsubasa,novel,pg-13 - teens 13 or older,6.32,3782,unknown,magic bus
21957,sore ike! anpanman: kokin-chan to aoi namida,unknown,pg - children,5.47,19,unknown,
4468,nagagutsu wo haita neko no bouken,unknown,g - all ages,6.77,178,spring 1992,
37687,mr. bond,novel,g - all ages,6,1,unknown,
34855,gabriel dropout specials,manga,pg-13 - teens 13 or older,7.77,13518,unknown,doga kobo
3964,turn a gundam ii movie: moonlight butterfly,unknown,pg-13 - teens 13 or older,6.79,809,unknown,sunrise
21421,mahou shoujo taisen,other,pg-13 - teens 13 or older,5.81,4366,spring 2014,gainax
1368,detective conan ova 06: follow the vanished diamond! conan & heiji vs. kid!,manga,pg-13 - teens 13 or older,7.53,5173,unknown,tms entertainment
36493,esoragoto spiral,music,pg-13 - teens 13 or older,6.06,189,unknown,
623,shichinin no nana,manga,pg-13 - teens 13 or older,6.88,834,winter 2002,a.c.g.t.
9584,kappa no sanpei,unknown,g - all ages,6.23,31,unknown,
12069,hajime no ippo: boxer no kobushi,manga,pg-13 - teens 13 or older,8.2,16131,unknown,madhouse
31404,netoge no yome wa onnanoko ja nai to omotta?,light novel,pg-13 - teens 13 or older,7.08,117011,s light novel series of the same title.,funimation
538,shin tenchi muyou!,original,pg-13 - teens 13 or older,6.94,13539,spring 1997,aic
28653,maze,unknown,g - all ages,5.15,71,unknown,
5090,techno police 21c,original,pg-13 - teens 13 or older,5.71,212,unknown,
325,peach girl,manga,pg-13 - teens 13 or older,7.13,31439,winter 2005,studio comet
8539,toilet no hanako-san,other,pg-13 - teens 13 or older,6.08,54,unknown,studio pierrot
35363,"kobayashi-san chi no maid dragon: valentine, soshite onsen! - amari kitai shinaide kudasai",manga,pg-13 - teens 13 or older,7.91,29455,unknown,kyoto animation
37806,gunjou no magmel,manga,none,0,0,unknown,
6798,saa ikou! tamagotchi,unknown,g - all ages,5.93,246,fall 2007,olm
33922,"taka no tsume-dan, toyama",original,g - all ages,3.4,15,unknown,dle
2783,oyayubi hime monogatari,book,g - all ages,6.75,276,spring 1992,
5193,shinjuku shin-chan patrol: warui otona ni ki wo tsukete,unknown,pg - children,5.3,70,unknown,
9203,k-on!!: ura-on!!,original,g - all ages,6.58,12577,unknown,kyoto animation
7222,macross f movie 2: sayonara no tsubasa,original,pg-13 - teens 13 or older,8.03,10134,unknown,"satelight, 8bit"
1135,munto: toki no kabe wo koete,original,pg-13 - teens 13 or older,7.16,4049,unknown,kyoto animation
33779,jakusansei million arthur specials,web manga,pg-13 - teens 13 or older,5.42,43,unknown,gathering
23301,pokemon xy: mega evolution,game,pg - children,7.61,8050,unknown,olm
6512,nyan koi!,manga,pg-13 - teens 13 or older,7.32,95032,fall 2009,aic
29247,kiki to lala no habatake! pegasus,unknown,pg - children,5.56,25,unknown,
5554,eguchi hisashi no nantoka narudesho!,manga,none,5.82,61,unknown,madhouse
30396,akai kutsu! onnanoko!,unknown,g - all ages,4.06,131,unknown,
31763,accel world: infinite∞burst,light novel,pg-13 - teens 13 or older,6.78,12809,unknown,sunrise
15781,puchimas!: petit idolm@ster episode 0,4-koma manga,pg-13 - teens 13 or older,6.66,1510,unknown,gathering
